policy_name,scenario_name,seed,trace_id,average_delay,drop_ratio,throughput,completed_tasks,dropped_tasks,total_tasks
ADAPTIVE,extreme,1,extreme-1,11.35,0.8148148148148148,20,20,88,108
ADAPTIVE,extreme,2,extreme-2,11.25,0.8148148148148148,20,20,88,108
ADAPTIVE,extreme,3,extreme-3,11.4,0.8148148148148148,20,20,88,108
ADAPTIVE,extreme,4,extreme-4,11.35,0.8148148148148148,20,20,88,108
ADAPTIVE,extreme,5,extreme-5,11.2,0.8148148148148148,20,20,88,108
ADAPTIVE,heavy,1,heavy-1,11.05,0.8148148148148148,20,20,88,108
ADAPTIVE,heavy,2,heavy-2,11.1,0.8148148148148148,20,20,88,108
ADAPTIVE,heavy,3,heavy-3,11.2,0.8148148148148148,20,20,88,108
ADAPTIVE,heavy,4,heavy-4,11.1,0.8148148148148148,20,20,88,108
ADAPTIVE,heavy,5,heavy-5,11.05,0.8148148148148148,20,20,88,108
ADAPTIVE,moderate,1,moderate-1,11.0,0.8148148148148148,20,20,88,108
ADAPTIVE,moderate,2,moderate-2,11.19047619047619,0.8055555555555556,21,21,87,108
ADAPTIVE,moderate,3,moderate-3,11.238095238095237,0.8055555555555556,21,21,87,108
ADAPTIVE,moderate,4,moderate-4,11.380952380952381,0.8055555555555556,21,21,87,108
ADAPTIVE,moderate,5,moderate-5,11.095238095238095,0.8055555555555556,21,21,87,108
ADAPTIVE,paper_default,1,paper_default-1,11.0,0.8148148148148148,20,20,88,108
ADAPTIVE,paper_default,2,paper_default-2,11.19047619047619,0.8055555555555556,21,21,87,108
ADAPTIVE,paper_default,3,paper_default-3,11.238095238095237,0.8055555555555556,21,21,87,108
ADAPTIVE,paper_default,4,paper_default-4,11.380952380952381,0.8055555555555556,21,21,87,108
ADAPTIVE,paper_default,5,paper_default-5,11.095238095238095,0.8055555555555556,21,21,87,108
BCO,extreme,1,extreme-1,10.857142857142858,0.8073394495412844,21,21,88,109
BCO,extreme,2,extreme-2,10.761904761904763,0.8073394495412844,21,21,88,109
BCO,extreme,3,extreme-3,10.904761904761905,0.8073394495412844,21,21,88,109
BCO,extreme,4,extreme-4,10.857142857142858,0.8073394495412844,21,21,88,109
BCO,extreme,5,extreme-5,10.714285714285714,0.8073394495412844,21,21,88,109
BCO,heavy,1,heavy-1,10.571428571428571,0.8073394495412844,21,21,88,109
BCO,heavy,2,heavy-2,10.619047619047619,0.8073394495412844,21,21,88,109
BCO,heavy,3,heavy-3,10.714285714285714,0.8073394495412844,21,21,88,109
BCO,heavy,4,heavy-4,10.619047619047619,0.8073394495412844,21,21,88,109
BCO,heavy,5,heavy-5,10.571428571428571,0.8073394495412844,21,21,88,109
BCO,moderate,1,moderate-1,10.523809523809524,0.8073394495412844,21,21,88,109
BCO,moderate,2,moderate-2,10.681818181818182,0.7981651376146789,22,22,87,109
BCO,moderate,3,moderate-3,10.727272727272727,0.7981651376146789,22,22,87,109
BCO,moderate,4,moderate-4,10.863636363636363,0.7981651376146789,22,22,87,109
BCO,moderate,5,moderate-5,10.590909090909092,0.7981651376146789,22,22,87,109
BCO,paper_default,1,paper_default-1,10.523809523809524,0.8073394495412844,21,21,88,109
BCO,paper_default,2,paper_default-2,10.681818181818182,0.7981651376146789,22,22,87,109
BCO,paper_default,3,paper_default-3,10.727272727272727,0.7981651376146789,22,22,87,109
BCO,paper_default,4,paper_default-4,10.863636363636363,0.7981651376146789,22,22,87,109
BCO,paper_default,5,paper_default-5,10.590909090909092,0.7981651376146789,22,22,87,109
FLC,extreme,1,extreme-1,10.857142857142858,0.8073394495412844,21,21,88,109
FLC,extreme,2,extreme-2,10.761904761904763,0.8073394495412844,21,21,88,109
FLC,extreme,3,extreme-3,10.904761904761905,0.8073394495412844,21,21,88,109
FLC,extreme,4,extreme-4,10.857142857142858,0.8073394495412844,21,21,88,109
FLC,extreme,5,extreme-5,10.714285714285714,0.8073394495412844,21,21,88,109
FLC,heavy,1,heavy-1,10.571428571428571,0.8073394495412844,21,21,88,109
FLC,heavy,2,heavy-2,10.619047619047619,0.8073394495412844,21,21,88,109
FLC,heavy,3,heavy-3,10.714285714285714,0.8073394495412844,21,21,88,109
FLC,heavy,4,heavy-4,10.619047619047619,0.8073394495412844,21,21,88,109
FLC,heavy,5,heavy-5,10.571428571428571,0.8073394495412844,21,21,88,109
FLC,moderate,1,moderate-1,10.523809523809524,0.8073394495412844,21,21,88,109
FLC,moderate,2,moderate-2,10.681818181818182,0.7981651376146789,22,22,87,109
FLC,moderate,3,moderate-3,10.727272727272727,0.7981651376146789,22,22,87,109
FLC,moderate,4,moderate-4,10.863636363636363,0.7981651376146789,22,22,87,109
FLC,moderate,5,moderate-5,10.590909090909092,0.7981651376146789,22,22,87,109
FLC,paper_default,1,paper_default-1,10.523809523809524,0.8073394495412844,21,21,88,109
FLC,paper_default,2,paper_default-2,10.681818181818182,0.7981651376146789,22,22,87,109
FLC,paper_default,3,paper_default-3,10.727272727272727,0.7981651376146789,22,22,87,109
FLC,paper_default,4,paper_default-4,10.863636363636363,0.7981651376146789,22,22,87,109
FLC,paper_default,5,paper_default-5,10.590909090909092,0.7981651376146789,22,22,87,109
HO,extreme,1,extreme-1,11.4,0.8148148148148148,20,20,88,108
HO,extreme,2,extreme-2,11.3,0.8148148148148148,20,20,88,108
HO,extreme,3,extreme-3,11.45,0.8148148148148148,20,20,88,108
HO,extreme,4,extreme-4,11.4,0.8148148148148148,20,20,88,108
HO,extreme,5,extreme-5,11.25,0.8148148148148148,20,20,88,108
HO,heavy,1,heavy-1,11.1,0.8148148148148148,20,20,88,108
HO,heavy,2,heavy-2,11.15,0.8148148148148148,20,20,88,108
HO,heavy,3,heavy-3,11.25,0.8148148148148148,20,20,88,108
HO,heavy,4,heavy-4,11.15,0.8148148148148148,20,20,88,108
HO,heavy,5,heavy-5,11.1,0.8148148148148148,20,20,88,108
HO,moderate,1,moderate-1,11.05,0.8148148148148148,20,20,88,108
HO,moderate,2,moderate-2,11.238095238095237,0.8055555555555556,21,21,87,108
HO,moderate,3,moderate-3,11.285714285714286,0.8055555555555556,21,21,87,108
HO,moderate,4,moderate-4,11.428571428571429,0.8055555555555556,21,21,87,108
HO,moderate,5,moderate-5,11.142857142857142,0.8055555555555556,21,21,87,108
HO,paper_default,1,paper_default-1,11.05,0.8148148148148148,20,20,88,108
HO,paper_default,2,paper_default-2,11.238095238095237,0.8055555555555556,21,21,87,108
HO,paper_default,3,paper_default-3,11.285714285714286,0.8055555555555556,21,21,87,108
HO,paper_default,4,paper_default-4,11.428571428571429,0.8055555555555556,21,21,87,108
HO,paper_default,5,paper_default-5,11.142857142857142,0.8055555555555556,21,21,87,108
MLEO,extreme,1,extreme-1,10.857142857142858,0.8073394495412844,21,21,88,109
MLEO,extreme,2,extreme-2,10.761904761904763,0.8073394495412844,21,21,88,109
MLEO,extreme,3,extreme-3,10.904761904761905,0.8073394495412844,21,21,88,109
MLEO,extreme,4,extreme-4,10.857142857142858,0.8073394495412844,21,21,88,109
MLEO,extreme,5,extreme-5,10.714285714285714,0.8073394495412844,21,21,88,109
MLEO,heavy,1,heavy-1,10.571428571428571,0.8073394495412844,21,21,88,109
MLEO,heavy,2,heavy-2,10.619047619047619,0.8073394495412844,21,21,88,109
MLEO,heavy,3,heavy-3,10.714285714285714,0.8073394495412844,21,21,88,109
MLEO,heavy,4,heavy-4,10.619047619047619,0.8073394495412844,21,21,88,109
MLEO,heavy,5,heavy-5,10.571428571428571,0.8073394495412844,21,21,88,109
MLEO,moderate,1,moderate-1,10.523809523809524,0.8073394495412844,21,21,88,109
MLEO,moderate,2,moderate-2,10.681818181818182,0.7981651376146789,22,22,87,109
MLEO,moderate,3,moderate-3,10.727272727272727,0.7981651376146789,22,22,87,109
MLEO,moderate,4,moderate-4,10.863636363636363,0.7981651376146789,22,22,87,109
MLEO,moderate,5,moderate-5,10.590909090909092,0.7981651376146789,22,22,87,109
MLEO,paper_default,1,paper_default-1,10.523809523809524,0.8073394495412844,21,21,88,109
MLEO,paper_default,2,paper_default-2,10.681818181818182,0.7981651376146789,22,22,87,109
MLEO,paper_default,3,paper_default-3,10.727272727272727,0.7981651376146789,22,22,87,109
MLEO,paper_default,4,paper_default-4,10.863636363636363,0.7981651376146789,22,22,87,109
MLEO,paper_default,5,paper_default-5,10.590909090909092,0.7981651376146789,22,22,87,109
RO,extreme,1,extreme-1,11.15,0.8165137614678899,20,20,89,109
RO,extreme,2,extreme-2,11.05,0.8165137614678899,20,20,89,109
RO,extreme,3,extreme-3,11.2,0.8165137614678899,20,20,89,109
RO,extreme,4,extreme-4,11.15,0.8165137614678899,20,20,89,109
RO,extreme,5,extreme-5,11.0,0.8165137614678899,20,20,89,109
RO,heavy,1,heavy-1,10.85,0.8165137614678899,20,20,89,109
RO,heavy,2,heavy-2,10.9,0.8165137614678899,20,20,89,109
RO,heavy,3,heavy-3,11.0,0.8165137614678899,20,20,89,109
RO,heavy,4,heavy-4,10.9,0.8165137614678899,20,20,89,109
RO,heavy,5,heavy-5,10.85,0.8165137614678899,20,20,89,109
RO,moderate,1,moderate-1,10.8,0.8165137614678899,20,20,89,109
RO,moderate,2,moderate-2,11.0,0.8073394495412844,21,21,88,109
RO,moderate,3,moderate-3,11.047619047619047,0.8073394495412844,21,21,88,109
RO,moderate,4,moderate-4,11.19047619047619,0.8073394495412844,21,21,88,109
RO,moderate,5,moderate-5,10.904761904761905,0.8073394495412844,21,21,88,109
RO,paper_default,1,paper_default-1,10.8,0.8165137614678899,20,20,89,109
RO,paper_default,2,paper_default-2,11.0,0.8073394495412844,21,21,88,109
RO,paper_default,3,paper_default-3,11.047619047619047,0.8073394495412844,21,21,88,109
RO,paper_default,4,paper_default-4,11.19047619047619,0.8073394495412844,21,21,88,109
RO,paper_default,5,paper_default-5,10.904761904761905,0.8073394495412844,21,21,88,109
VO,extreme,1,extreme-1,11.4,0.8148148148148148,20,20,88,108
VO,extreme,2,extreme-2,11.3,0.8148148148148148,20,20,88,108
VO,extreme,3,extreme-3,11.45,0.8148148148148148,20,20,88,108
VO,extreme,4,extreme-4,11.4,0.8148148148148148,20,20,88,108
VO,extreme,5,extreme-5,11.25,0.8148148148148148,20,20,88,108
VO,heavy,1,heavy-1,11.1,0.8148148148148148,20,20,88,108
VO,heavy,2,heavy-2,11.15,0.8148148148148148,20,20,88,108
VO,heavy,3,heavy-3,11.25,0.8148148148148148,20,20,88,108
VO,heavy,4,heavy-4,11.15,0.8148148148148148,20,20,88,108
VO,heavy,5,heavy-5,11.1,0.8148148148148148,20,20,88,108
VO,moderate,1,moderate-1,11.05,0.8148148148148148,20,20,88,108
VO,moderate,2,moderate-2,11.238095238095237,0.8055555555555556,21,21,87,108
VO,moderate,3,moderate-3,11.285714285714286,0.8055555555555556,21,21,87,108
VO,moderate,4,moderate-4,11.428571428571429,0.8055555555555556,21,21,87,108
VO,moderate,5,moderate-5,11.142857142857142,0.8055555555555556,21,21,87,108
VO,paper_default,1,paper_default-1,11.05,0.8148148148148148,20,20,88,108
VO,paper_default,2,paper_default-2,11.238095238095237,0.8055555555555556,21,21,87,108
VO,paper_default,3,paper_default-3,11.285714285714286,0.8055555555555556,21,21,87,108
VO,paper_default,4,paper_default-4,11.428571428571429,0.8055555555555556,21,21,87,108
VO,paper_default,5,paper_default-5,11.142857142857142,0.8055555555555556,21,21,87,108
