paper_mechanism,paper_expectation,code_location,current_code_behavior,evidence,status,impact_on_figure_9_10,required_future_fix
task arrival model,Bernoulli task arrivals per slot across N agents,src/environment/traffic_generator.py:74-128,Generates Bernoulli arrivals with deterministic seeding and paper config presets,TrafficGenerator.generate and TrafficScenarioPreset.paper_default,exact,Enables sweeps but still produces sparse/degenerate traces under current runtime,No change required to core model; validate end-to-end workload exercise
task size model,Task sizes drawn from paper-supported discrete range,src/environment/traffic_config.py:9-53 and src/environment/traffic_generator.py:14-19,Builds discrete task-size values from min/max/step and cycles through them deterministically,TrafficConfig.task_size_values and _size_for_task,exact,Current figure sweeps still collapse because size variation alone does not produce paper-like dynamics,No change required; ensure size ranges are actually exercised in validation runs
processing density,Use paper density of 0.297 Gcycles/Mbit,src/environment/traffic_config.py:61-122,Paper-default preset uses 0.297 and propagates it into generated traces,TrafficScenarioPreset.paper_default,exact,Present in traces but not sufficient to recover paper-like outputs,No change required
time-slot loop,Advance the simulation one slot at a time with queue progression,src/environment/gym_adapter.py:179-241,Step loop advances queues, finalizes tasks, and loads next arrivals,Step method,exact,Figure 10 traces still collapse to one-task or zero-completion episodes,Ensure runtime sweeps fully exercise this loop across long traces
private queue,Maintain per-agent private queue before offloading or execution,src/environment/paper_queue_fidelity.py:8-26 and src/environment/gym_adapter.py:243-260,Queue fidelity snapshot exists and environment tracks private queues,PaperQueueFidelitySnapshot and queue_load,approximate,Queue plumbing exists but does not produce paper-like queue pressure in current sweeps,Re-run with higher-fidelity workload progression if allowed by future work
offloading queue,Maintain offloading queue for transferred tasks,src/environment/paper_queue_fidelity.py:8-26 and src/environment/gym_adapter.py:243-260,Environment tracks offloading queues and drains them during step progression,PaperQueueFidelitySnapshot and queue_load,approximate,Offloading exists but outputs still collapse rather than differentiating policies,No code change in audit; future validation should confirm queue pressure is exercised
public/cloud queue,Maintain public/cloud queues for forwarded tasks,src/environment/paper_queue_fidelity.py:8-26 and src/environment/gym_adapter.py:243-260,Public queues are tracked per destination and included in queue load,PaperQueueFidelitySnapshot and queue_load,approximate,Queue presence alone is not yielding paper-like Figure 10 separation,No code change in audit; inspect queue progression in dedicated runtime validation
local execution,Local family should complete on the source agent,src/policies/flc.py:1-40 and src/analysis/hoodie_runtime_evaluation_runner/policies.py:140-157,FLC adapter always selects local family when legal,FullLocalComputingAdapter,exact,Does not meaningfully separate from others in degenerate traces,Verify local-vs-offload effects under a more active workload if future work permits
horizontal offloading,Horizontal family should choose neighbor destinations,src/policies/ho.py:1-40 and src/analysis/hoodie_runtime_evaluation_runner/policies.py:180-197,HO adapter chooses horizontal destinations when legal,HorizontalOffloadingAdapter,exact,Ties with other policies because runtime traces are too sparse and candidate signals are weak,Need richer queue and latency signals in future validation
vertical offloading,Vertical family should choose cloud destination,src/policies/vo.py:1-40 and src/analysis/hoodie_runtime_evaluation_runner/policies.py:160-177,VO adapter chooses cloud family when legal,VerticalOffloadingAdapter,exact,Still collapses to degenerate Figure 10 outputs,No audit-time fix; future validation should ensure policy-specific traces diverge
delay computation,Measure completed-task delay from simulation runtime,src/evaluation/metrics.py:42-68 and src/environment/reward_timing.py:116-124,Average delay is computed only from completed task delays and reward is based on terminal outcomes,TaskEvaluationRecord and reward_for_terminal_task,exact,Allows zero-delay-looking outputs when tasks never complete or complete instantly in sparse traces,Do not change in audit; future work should validate delay accounting against richer traces
drop-ratio computation,Count dropped over total tasks with meaningful denominators,src/evaluation/metrics.py:42-68 and src/evaluation/metric_formulas.py,Drop ratio is computed from dropped tasks divided by total tasks,evaluate_trace and drop_ratio,exact,Produces 100% drop in many current sweeps because total tasks are tiny and completions are absent,No change in audit; future work should ensure sweeps create enough completed tasks
reward/cost function,Use terminal reward or cost that reflects deadline success/failure,src/environment/reward_timing.py:116-124,Completed tasks get negative completion-time reward and dropped tasks get fixed penalty,reward_for_terminal_task,exact,Reward values are current-simulator outputs, but not paper-faithful enough for claims,No change in audit; future work should verify reward against paper-trained validation traces
HOODIE policy behavior,Learned proposed-method behavior should outperform baselines and not collapse to ties,src/analysis/hoodie_runtime_evaluation_runner/policies.py:79-112 and src/evaluation/policy_registry.py:29-39,Adapter uses HoodieAgent and learned q-values path, but current outputs do not show robust differentiation,HoodiePolicyAdapter and PolicyRegistry,partial,Policies tie in Figure 10 and HOODIE often matches MLEO,Need real trained model/traces and end-to-end validation
RO baseline,Random offloading should vary actions and serve as a weak baseline,src/analysis/hoodie_runtime_evaluation_runner/policies.py:115-137,Seed-controlled random legal action selection,RandomOffloaderAdapter,exact,Still ties numerically in many traces because the workload is too sparse,No audit-time fix; future validation should confirm stochastic diversity
FLC baseline,Local-only should bias toward local execution and be distinct from offloaders,src/analysis/hoodie_runtime_evaluation_runner/policies.py:140-157,Always selects local family when legal,FullLocalComputingAdapter,exact,Does not produce paper-like separation in current figures,No audit-time fix; future validation should confirm local-only trace behavior
VO baseline,Cloud-only should bias toward cloud execution and be distinct from local policies,src/analysis/hoodie_runtime_evaluation_runner/policies.py:160-177,Always selects vertical/cloud family when legal,VerticalOffloadingAdapter,exact,Still collapses in Figure 10 outputs,No audit-time fix; future validation should confirm cloud-specific dynamics
HO baseline,Horizontal-only should bias toward neighbor offload and be distinct from vertical/local,src/analysis/hoodie_runtime_evaluation_runner/policies.py:180-197,Chooses horizontal family when legal,HorizontalOffloadingAdapter,exact,Currently tied with other policies in many sweeps,No audit-time fix; future validation should confirm horizontal destination effects
BCO baseline,Balanced cyclic offloader should rotate among families,src/analysis/hoodie_runtime_evaluation_runner/policies.py:200-217,Rotates through local, vertical, and horizontal actions,BalancedCyclicOffloaderAdapter,exact,Rotation is present but not reflected in useful Figure 10 separation,No audit-time fix; future validation should confirm rotation changes metrics
MLEO baseline,Minimum-latency estimator should select the smallest estimated total delay,src/analysis/hoodie_runtime_evaluation_runner/policies.py:220-241,Uses candidate delays when present and falls back when not,MinimumLatencyEstimateOffloaderAdapter,partial,HOODIE and MLEO tie in current traces,Need stronger candidate coverage and real runtime pressure
Figure 9 sweep generation,Figure 9 should be based on trained validation outputs with correct sweep semantics,artifacts/feature_089_paper_metrics_catalog/figure_9a_reward_vs_arrival_probability.json and output_usage_bundle,Current artifact is approximation-tagged current-simulator output with explicit approximation notes,figure_9a_reward_vs_arrival_probability.json and figure_9b_action_distribution_vs_arrival_probability.json,approximate,Figure 9 is usable only as current-simulator output, not paper proof,Future validation should use paper-trained episodes if they exist
Figure 10 sweep generation,Figure 10 should reflect policy-separated simulator sweeps that match paper trends,artifacts/feature_089_paper_metrics_catalog/figure_10a_delay_vs_arrival_probability.json through figure_10f_drop_ratio_vs_timeout.json,Current sweeps are simulator-generated but degenerate, with ties and zero/100% outputs,figure_10_output_audit.md and figure_10_paper_claim_alignment.md,wrong,Figure 10 cannot support paper reproduction claims,Need richer runtime traces and verified sweep injection
DQN/DDQN/Dueling training loop,Paper training loop should exist and produce learned policy traces,src/agents/hoodie_agent.py:1-200 and related model stack,Learning-path scaffolding exists but there is no verified training trace bundle for Figures 8 and 11,HoodiePolicyAdapter and gated status artifacts,missing,No impact on current figures beyond gated status for 8/11,Future work must provide real training traces before un-gating
LSTM forecast/recovery logic,Paper LSTM ablation should be based on real forecast/recovery traces,artifacts/feature_089_paper_metrics_catalog/figure_11_lstm_ablation_status.json and report artifacts,Current status is gated because no LSTM traces exist,Figure 11 gated artifact,missing,Figure 11 remains gated and cannot be claimed as reproduced,Future work must supply real LSTM traces and ablation outputs
validation episodes,Paper validation should use the documented episode count and exploitative evaluation protocol,artifacts/feature_089_paper_metrics_catalog/figure_9a_reward_vs_arrival_probability.json and related bundle,Current artifacts state paper validation uses 200 episodes but simulator artifacts use small seed ensembles,approximation notes and support_status fields,approximate,Current outputs do not support paper-level validation claims,If future paper validation is desired, use real 200-episode policy validation
