episode_id,average_latency,average_waiting_time,average_service_time
0,7.5718533201189295,2.5098814229249014,2.6482213438735176
1,7.75730110775428,2.5842450765864333,2.5426695842450764
2,7.757,2.3378378378378377,2.6103603603603602
3,7.883582089552239,2.550561797752809,2.6696629213483147
4,7.974137931034483,2.658256880733945,2.4908256880733943
5,8.004897159647404,2.552380952380952,2.5976190476190477
6,7.72356935014549,2.4476987447698746,2.6422594142259412
7,7.997145575642246,2.5395348837209304,2.5651162790697675
8,7.636363636363637,2.4625,2.6625
9,7.724489795918367,2.5504201680672267,2.764705882352941
10,7.846309403437816,2.57847533632287,2.6457399103139014
11,7.747950819672131,2.4761904761904763,2.7662337662337664
12,7.72920892494929,2.403470715835141,2.7396963123644253
13,7.6534954407294835,2.342612419700214,2.6980728051391862
14,7.815109343936382,2.520697167755991,2.690631808278867
15,8.143292682926829,2.6515151515151514,2.734848484848485
16,7.745694022289767,2.5583864118895967,2.7176220806794054
17,7.947006869479882,2.654462242562929,2.5583524027459954
18,7.903162055335969,2.6422222222222222,2.6422222222222222
19,7.661274014155713,2.58004158004158,2.6112266112266114
20,7.9189723320158105,2.6032482598607887,2.5104408352668215
21,7.794846382556987,2.4717391304347824,2.6913043478260867
22,7.705284552845528,2.5496828752642706,2.6765327695560255
23,7.830558276199804,2.4250559284116333,2.6196868008948546
24,7.815524193548387,2.3867276887871856,2.654462242562929
25,8.039014373716633,2.5583756345177666,2.5939086294416245
26,7.706896551724138,2.568710359408034,2.6511627906976742
27,7.921267893660532,2.396135265700483,2.6932367149758454
28,7.9978991596638656,2.8038277511961724,2.6363636363636362
29,7.748285994123409,2.458422174840085,2.6396588486140726
30,7.723091976516634,2.4334763948497855,2.572961373390558
31,7.593132154006243,2.346723044397463,2.763213530655391
32,7.965829145728644,2.63302752293578,2.7247706422018347
33,7.843503937007874,2.428246013667426,2.580865603644647
34,7.7074626865671645,2.402127659574468,2.695744680851064
35,7.458123107971746,2.4216634429400385,2.7059961315280465
36,7.8431568431568435,2.6157205240174672,2.6703056768558953
37,7.936775553213909,2.4058679706601467,2.806845965770171
38,7.958413926499033,2.581818181818182,2.6204545454545456
39,7.711458333333334,2.5416666666666665,2.6403508771929824
40,7.89247311827957,2.5640449438202246,2.5910112359550563
41,7.686103012633625,2.4008350730688934,2.62839248434238
42,7.651950718685832,2.390557939914163,2.7017167381974247
43,7.931069958847736,2.4401913875598087,2.748803827751196
44,7.586138613861386,2.5129224652087476,2.640159045725646
45,8.054901960784314,2.597560975609756,2.5634146341463415
46,7.84645286686103,2.621212121212121,2.5822510822510822
47,7.685203574975174,2.509394572025052,2.624217118997912
48,7.616326530612245,2.3634453781512605,2.7289915966386555
49,7.841040462427745,2.6058700209643604,2.6960167714884697
50,7.543223052294557,2.302771855010661,2.788912579957356
51,7.803589232303091,2.4704595185995624,2.7089715536105032
52,7.744186046511628,2.49010989010989,2.6065934065934067
53,7.5336048879837065,2.5049701789264414,2.679920477137177
54,7.6392785571142285,2.534412955465587,2.6963562753036436
55,8.053307008884502,2.6738095238095236,2.630952380952381
56,7.840119165839126,2.497797356828194,2.711453744493392
57,7.5773809523809526,2.5297619047619047,2.625
58,7.600790513833992,2.4,2.694949494949495
59,7.829170829170829,2.596949891067538,2.6688453159041394
60,7.762917933130699,2.352422907488987,2.7841409691629955
61,7.792008196721311,2.440449438202247,2.7168539325842698
62,8.011494252873563,2.645011600928074,2.5382830626450117
63,7.710029791459782,2.432489451476793,2.7025316455696204
64,7.773869346733668,2.5842217484008527,2.692963752665245
65,7.799398194583751,2.5659574468085107,2.765957446808511
66,7.998021760633036,2.522565320665083,2.669833729216152
67,7.919417475728156,2.4204545454545454,2.709090909090909
68,7.8006103763987795,2.6680942184154177,2.702355460385439
69,7.829637096774194,2.52549889135255,2.7006651884700665
70,7.865530303030303,2.53862660944206,2.624463519313305
71,7.799401197604791,2.5633187772925763,2.6222707423580784
72,7.629441624365482,2.407563025210084,2.686974789915966
73,7.813609467455621,2.442222222222222,2.631111111111111
74,7.87863590772317,2.4493087557603688,2.6774193548387095
75,7.745383867832848,2.59958071278826,2.5366876310272537
76,7.7368421052631575,2.4595744680851066,2.6914893617021276
77,7.568452380952381,2.3387755102040817,2.659183673469388
78,7.826086956521739,2.340229885057471,2.717241379310345
79,7.708375378405651,2.345054945054945,2.6637362637362636
80,7.8646998982706,2.5697940503432495,2.6270022883295194
81,7.956131605184447,2.515151515151515,2.7062937062937062
82,7.712424849699399,2.4796573875803,2.6316916488222697
83,7.7620927936821325,2.5394456289978677,2.626865671641791
84,7.89351403678606,2.489977728285078,2.6636971046770603
85,8.02843137254902,2.7213483146067414,2.7595505617977527
86,7.62086258776329,2.5578093306288032,2.630831643002028
87,7.732438016528926,2.445916114790287,2.7086092715231787
88,7.864125122189638,2.3209302325581396,2.597674418604651
89,7.657786885245901,2.4237288135593222,2.733050847457627
90,7.789808917197452,2.318604651162791,2.83953488372093
91,7.91699604743083,2.5433789954337898,2.643835616438356
92,7.740412979351032,2.46218487394958,2.7100840336134455
93,7.313340227507756,2.2485549132947975,2.745664739884393
94,7.937823834196891,2.567441860465116,2.8046511627906976
95,7.714285714285714,2.5168067226890756,2.676470588235294
96,7.7958374628344895,2.679324894514768,2.628691983122363
97,7.617943548387097,2.3422680412371135,2.7855670103092782
98,7.7002997002997,2.486315789473684,2.6673684210526316
99,7.927218344965104,2.494331065759637,2.7913832199546484
100,7.722057368941642,2.4423076923076925,2.6367521367521367
101,7.734879032258065,2.5052631578947366,2.7642105263157895
102,7.877788554801164,2.477578475336323,2.616591928251121
103,8.01434034416826,2.576112412177986,2.559718969555035
104,7.901921132457027,2.560919540229885,2.668965517241379
105,7.892057026476579,2.46135831381733,2.690866510538642
106,7.708962739174219,2.619047619047619,2.670807453416149
107,7.74572864321608,2.5294117647058822,2.758403361344538
108,7.683943089430894,2.505175983436853,2.7763975155279503
109,7.882936507936508,2.4045454545454548,2.7454545454545456
110,7.7097107438016526,2.3785557986870898,2.7702407002188183
111,7.81237322515213,2.424507658643326,2.8555798687089715
112,7.7379518072289155,2.4537444933920707,2.5837004405286343
113,7.718226600985222,2.429787234042553,2.6425531914893616
114,7.5813953488372094,2.467479674796748,2.6707317073170733
115,7.714,2.414225941422594,2.803347280334728
116,7.900990099009901,2.526315789473684,2.622425629290618
117,7.726640159045726,2.4334763948497855,2.6587982832618025
118,7.812871287128713,2.4956521739130433,2.7021739130434783
119,7.721995926680244,2.4216335540838854,2.6401766004415013
120,7.927093596059113,2.6230248306997743,2.6275395033860045
121,7.852525252525252,2.5444444444444443,2.7311111111111113
122,7.4316109422492405,2.4541910331384016,2.604288499025341
123,8.109235352532274,2.675544794188862,2.7142857142857144
124,7.708029197080292,2.3893805309734515,2.747787610619469
125,7.660806618407446,2.5448717948717947,2.621794871794872
126,7.742454728370221,2.6224066390041494,2.7219917012448134
127,7.883333333333334,2.501118568232662,2.668903803131991
128,7.714434060228453,2.537313432835821,2.769722814498934
129,7.915520628683693,2.677704194260486,2.6379690949227372
130,7.760322255790534,2.427947598253275,2.7161572052401746
131,7.699088145896656,2.3774403470715835,2.6963123644251628
132,7.887128712871287,2.5535714285714284,2.6830357142857144
133,7.778769841269841,2.4422657952069717,2.679738562091503
134,7.6310975609756095,2.4918032786885247,2.7315573770491803
135,7.985177865612648,2.567198177676538,2.788154897494305
136,7.889227642276423,2.4976958525345623,2.716589861751152
137,7.848884381338743,2.504484304932735,2.7399103139013454
138,7.8312757201646095,2.5273972602739727,2.6598173515981736
139,7.795939086294417,2.5163398692810457,2.7538126361655775
140,7.945539906103287,2.594170403587444,2.5
141,7.724742268041237,2.4836601307189543,2.708061002178649
142,7.754146341463414,2.520430107526882,2.529032258064516
143,7.786614936954413,2.3148558758314857,2.625277161862528
144,7.610429447852761,2.576923076923077,2.6923076923076925
145,8.060515873015873,2.5872235872235874,2.6093366093366095
146,7.755467196819086,2.5674518201284795,2.5974304068522485
147,7.939182452642074,2.5903890160183067,2.679633867276888
148,7.69774288518155,2.5010309278350515,2.6618556701030927
149,7.758928571428571,2.4025974025974026,2.707792207792208
150,7.777006937561943,2.5203426124197,2.6766595289079227
151,7.896207584830339,2.3923444976076556,2.5645933014354068
152,7.719315895372233,2.46723044397463,2.7399577167019027
153,8.005836575875486,2.6971830985915495,2.4906103286384975
154,7.767767767767768,2.507430997876858,2.7579617834394905
155,7.924151696606787,2.562929061784897,2.677345537757437
156,7.9645748987854255,2.6282352941176472,2.64
157,7.825510204081633,2.5195402298850573,2.581609195402299
158,7.865134865134865,2.4724061810154527,2.8101545253863134
159,7.843843843843844,2.5309734513274336,2.7035398230088497
160,7.729315628192032,2.4361702127659575,2.8340425531914892
161,7.824925816023739,2.4988864142538976,2.6035634743875278
162,7.712712712712713,2.3653846153846154,2.752136752136752
163,7.74793388429752,2.4529540481400436,2.7768052516411377
164,7.858846918489066,2.4555555555555557,2.7577777777777777
165,7.893069306930693,2.607929515418502,2.7048458149779737
166,7.838912133891213,2.610738255033557,2.767337807606264
167,7.665322580645161,2.5184426229508197,2.735655737704918
168,7.782823297137216,2.3340857787810383,2.595936794582393
169,7.699799196787149,2.4788135593220337,2.667372881355932
170,7.998035363457761,2.5707547169811322,2.6226415094339623
171,7.822947576656776,2.6225596529284165,2.6030368763557483
172,7.7221664994984955,2.3755458515283845,2.665938864628821
173,7.802747791952895,2.389010989010989,2.6901098901098903
174,7.727,2.376068376068376,2.767094017094017
175,7.629960317460317,2.5873015873015874,2.6726190476190474
176,7.6971544715447155,2.3978723404255318,2.7808510638297874
177,7.711729622266402,2.4503171247357294,2.682875264270613
178,7.687309644670051,2.485294117647059,2.7289915966386555
179,7.896446700507614,2.5,2.769406392694064
180,7.904995102840353,2.4808988764044946,2.7123595505617977
181,7.860236220472441,2.4795454545454545,2.5795454545454546
182,8.053069719042664,2.6135265700483092,2.867149758454106
183,7.780487804878049,2.4649122807017543,2.5460526315789473
184,8.048971596474045,2.5474452554744524,2.605839416058394
185,7.776884422110553,2.4,2.7384615384615385
186,7.733990147783251,2.6166666666666667,2.591666666666667
187,7.540041067761807,2.3795180722891565,2.8092369477911645
188,7.661810613943809,2.507399577167019,2.7420718816067655
189,7.938856015779093,2.6839729119638824,2.598194130925508
190,7.955089820359281,2.5128205128205128,2.710955710955711
191,7.479674796747967,2.2745490981963927,2.755511022044088
192,7.940343781597574,2.5270588235294116,2.68
193,7.615,2.2665245202558637,2.64818763326226
194,7.8780251694094865,2.4478935698447892,2.6917960088691797
195,7.8563049853372435,2.479028697571744,2.6799116997792494
196,7.7196738022426095,2.417391304347826,2.7195652173913043
197,7.844091360476663,2.559734513274336,2.6371681415929205
198,7.698818897637795,2.3776824034334765,2.6051502145922747
199,8.029702970297029,2.726218097447796,2.65661252900232
